word,cluster,risk_ratings,psych_voluntary,psych_fatal,psych_immediate,psych_dread,psych_catastrophic,psych_controllable,psych_known_sci,psych_known,psych_new,psych_pc1,psych_pc2,psych_pc3,psych_pc4,psych_pc5,psych_pc6,psych_pc7,psych_pc8,psych_pc9,in_Fisch,psych_pred_risk,glove_pred_risk,swow_pred_risk
laughing,Activities / Technologies,-80.97333333333333,4.291666666666667,1.25,4.666666666666667,1.3958333333333333,1.6041666666666667,3.5416666666666665,3.9166666666666665,4.708333333333333,5.9375,-2.1869306110172957,-2.699876649030298,0.232131263938376,1.0792950797503182,-1.3451095794095318,0.2827210346565626,0.6168302080520097,0.22250882464755922,-0.253730202078414,False,-69.32830822975014,-45.570876891439696,-52.15516662268253
syringe,Health,12.993055555555555,2.8297872340425534,3.8297872340425534,4.787234042553192,3.4468085106382977,1.7659574468085106,2.723404255319149,1.893617021276596,2.765957446808511,4.872340425531915,-0.7603941507317357,0.8178865326607963,-0.6341676986716345,0.18760385174655547,1.0866458217615065,0.048889347336350045,-0.008091143858129061,-0.12379571709708445,0.2711140469026802,False,19.476650139804846,-2.3975704871572425,8.815306165743948
vapor,Nature / Food,-4.089041095890411,4.127659574468085,3.0638297872340425,4.808510638297872,3.042553191489361,3.595744680851064,3.787234042553192,2.765957446808511,3.893617021276596,4.340425531914893,0.025088554524765,-1.2166092718063366,1.2768395025651034,-0.3735941041719883,0.5128021793523072,-0.32045541154366686,0.057716624351475995,-0.007325793854380647,0.11695472931246997,False,-14.303666346997858,20.731529459812645,9.63742897867887
machines,Activities / Technologies,12.188311688311687,3.3777777777777778,4.644444444444445,3.088888888888889,3.422222222222222,2.888888888888889,3.355555555555556,2.1777777777777776,2.555555555555556,4.8,0.7976734436234613,1.3788867764996589,0.6276196486687561,0.7165654833672455,0.3332064125941862,-0.32793935972553573,0.052582218800864694,-0.27747738226063057,-0.26610725096757437,False,19.27971236029498,8.593939532267619,-4.501473443378195
freedom,Activities / Technologies,-55.625,3.276595744680851,2.6808510638297878,5.23404255319149,2.3191489361702127,3.4468085106382977,3.4680851063829787,3.25531914893617,3.276595744680851,5.659574468085107,-0.9945232624512683,-0.8069672325311209,0.6516240812281956,-0.9311447976024188,-0.6059918491270424,0.49340677835296365,-0.0026779912228004086,0.11759974833901875,-0.34915464200252827,False,-26.336560509748878,-30.285437333510476,-33.590259459710026
ninja,Crime / War / Violence,33.54421768707483,4.311111111111111,4.333333333333333,3.6222222222222222,3.8666666666666663,2.8,4.488888888888889,3.4444444444444446,3.911111111111111,5.0,1.3683468041115503,-0.6956829812312328,1.0071130883833714,1.1149238309924532,0.44285731343603946,0.647061946683164,0.2598234970302873,0.21217116132890335,-0.48204615829341935,False,19.113349692169592,39.77589418159886,43.01206658390234
bingo,Activities / Technologies,-56.51748251748252,1.7755102040816326,1.3673469387755102,5.244897959183674,1.5918367346938775,2.591836734693877,1.836734693877551,3.7755102040816326,3.0,4.63265306122449,-3.774982580670647,-0.16275736404035526,1.082774429508456,-0.5587755021909345,-0.2352131220724061,0.5381223370664815,-0.3209295145228305,-0.5850862902337131,-0.03840353534240505,False,-52.01773826844384,-57.0817182881577,-42.43065377571078
creek,Nature / Food,-4.496644295302014,2.6041666666666665,3.5,4.0,2.708333333333333,2.5625,3.125,2.270833333333333,2.7291666666666665,6.479166666666667,-0.5784870202114129,0.9882018485536567,-0.3425910862094664,0.011509725810122336,-0.9697767521331091,0.49633781973313207,0.23232001968811297,0.24177153461389703,0.05340256501703753,False,-8.586418823414633,-24.458066990101862,-17.121509689097884
lava,Nature / Food,78.56666666666666,5.422222222222223,6.377777777777778,1.9333333333333331,5.266666666666667,5.911111111111111,5.511111111111111,1.1111111111111112,1.9777777777777776,6.711111111111111,5.959126558177101,1.5428093001657084,0.8807007243274498,-0.4770638023748815,-1.2640823448570953,-0.3760892166478164,-0.14515677192609555,-0.11421710688568922,-0.04248960220916105,False,65.19912094954084,53.61810650797315,64.75800090992934
sword,Crime / War / Violence,54.74675324675325,4.125,5.770833333333333,2.9166666666666665,4.791666666666667,2.3125,3.9583333333333335,1.4166666666666667,1.8125,6.416666666666667,2.787588753225676,1.8939181587218175,-1.2274138954393297,0.9678311836062701,0.02781560182606539,0.24298309118548647,-0.07966080234252447,-0.26020232014124006,-0.1859651905051354,False,70.53453714237135,34.06572386973467,36.92006076428434
