word,cluster,risk_ratings,psych_voluntary,psych_fatal,psych_immediate,psych_dread,psych_catastrophic,psych_controllable,psych_known_sci,psych_known,psych_new,psych_pc1,psych_pc2,psych_pc3,psych_pc4,psych_pc5,psych_pc6,psych_pc7,psych_pc8,psych_pc9,in_Fisch,psych_pred_risk,glove_pred_risk,swow_pred_risk
eel,Nature / Food,-6.377483443708609,4.0625,2.9375,4.520833333333333,3.083333333333333,1.625,3.8333333333333335,2.1875,3.1041666666666665,5.958333333333333,-0.49178143963898246,-0.515984735697693,-1.047586334857476,0.6061535514764328,-0.2854236999831024,0.001185519492229133,0.09223200141467207,-0.2726713108673349,0.24316077004099068,False,-1.4393082768105927,-8.388970846380031,-3.6754420478347143
subway,Transportation,-7.1118421052631575,2.673469387755102,3.63265306122449,2.897959183673469,2.7551020408163267,3.693877551020408,3.63265306122449,2.7755102040816326,2.7142857142857144,4.428571428571429,-0.15483677890567613,1.2170841584483296,1.9092481691972119,0.3936068099819467,-0.2559484607816037,-0.28306015644546684,-0.2861093225370919,-0.1516810318926759,-0.16673012453514408,False,-15.135764756313776,-9.898898156281923,-31.49017867746097
tumor,Health,75.64429530201342,6.48936170212766,5.595744680851064,5.574468085106383,6.170212765957447,2.404255319148936,1.1063829787234036,1.425531914893617,3.8297872340425534,6.191489361702128,4.508393060542785,-1.917503890170431,-1.90888705090193,0.07893331805527139,1.5982196722236552,0.5759084343673807,0.08308819614736515,0.6943686329896431,0.2632357271258894,False,94.0474173331652,45.60223502160953,76.06557357151684
artificial intelligence,Activities / Technologies,2.6754966887417218,4.148936170212766,3.127659574468085,4.680851063829787,3.574468085106383,4.382978723404255,2.4468085106382977,3.4680851063829787,4.553191489361702,1.7659574468085106,0.3629394453541199,-1.8487049139310245,3.482813663410617,-0.1083919171150344,2.254569913914318,-0.6949061148404356,-0.5822296619119519,0.1666990684388615,0.07260544586695908,False,-11.924120238530094,-17.466091267830457,-18.68930891526386
lawnmower,Nature / Food,-4.429530201342282,2.1333333333333333,3.8666666666666663,3.6222222222222222,2.6444444444444444,1.7555555555555555,4.822222222222223,2.1555555555555554,2.8222222222222224,4.666666666666667,-1.464940682253092,1.7150890849940423,0.15213269745382463,0.8614241204004499,0.5754548534758943,-0.1775340395997423,0.401064764773046,-0.21242242120359495,0.07659637710623458,False,-3.277635091948909,5.365213151630222,-28.010957352593945
scissors,Activities / Technologies,8.060402684563758,2.3043478260869565,3.5869565217391304,4.282608695652174,2.260869565217391,1.4565217391304348,4.956521739130435,1.5434782608695652,1.8478260869565215,5.782608695652174,-1.6952875473314826,1.8550838675415287,-1.2789337958796994,0.17210372916173466,-0.1975754956839138,-0.35285781589326676,0.07491832924903735,-0.3025777647963305,-0.09372210331939017,False,-2.9454406185532918,-3.814957540483011,9.200575526541853
laughing,Activities / Technologies,-80.97333333333333,4.291666666666667,1.25,4.666666666666667,1.3958333333333333,1.6041666666666667,3.4583333333333335,3.9166666666666665,4.708333333333333,5.9375,-2.186930611017294,-2.6998766490302972,0.23213126393837638,1.079295079750319,-1.3451095794095302,0.28272103465656523,0.616830208052008,0.22250882464755867,-0.2537302020784141,False,-69.32830822975015,-45.570876891439696,-52.15516662268253
club,Activities / Technologies,-5.386666666666667,3.116279069767442,3.232558139534884,4.0,2.6744186046511627,3.046511627906977,3.7209302325581395,3.186046511627907,3.069767441860465,4.930232558139535,-0.6662366457799735,0.1152014943356609,1.068282256512901,0.18832293023657026,-0.16500345453012488,0.20915908318212376,-0.0730253145253423,-0.18119530579812976,-0.33625833923467807,False,-14.119297485217032,-30.81514470625669,-0.6488039614126633
alley,Crime / War / Violence,4.826666666666667,3.3,2.7,3.8,3.42,1.88,3.9,3.64,3.5,5.1,-0.941230675001018,-0.4263715836351148,0.564813197415289,1.3028966164224327,0.041775229653659,0.9095987426515996,-0.14375793453919164,-0.4942245300012776,0.13811607735268813,False,-3.105339188802887,-4.245921028796971,16.83643077938318
crowds,Activities / Technologies,8.818791946308725,3.404255319148936,3.6595744680851054,4.0212765957446805,3.595744680851064,4.76595744680851,2.74468085106383,2.5106382978723403,2.893617021276596,5.787234042553192,1.2737787532152585,0.24293701250462485,1.2990485824188847,-1.0199285761663068,-0.7903271250937531,0.4012869980007344,-0.3511888807093813,0.2154840140131575,0.20226561999732348,False,1.5519481905352706,6.297704658627374,19.592837560057976
rain,Nature / Food,-31.36,5.76595744680851,2.6595744680851063,5.23404255319149,2.0851063829787235,3.5319148936170213,1.914893617021277,1.7872340425531914,2.6382978723404253,6.851063829787234,1.098039631104989,-2.042393061056902,-0.924610194846233,-1.084220755481208,-1.876014550637509,-1.0639561116243943,-0.47429772333531334,0.4554802824056633,-0.6109326174433092,False,-28.74707566611967,-19.970804533840408,-11.920241556864624
scuba diving,Nature / Food,24.953333333333333,1.3571428571428572,4.714285714285714,3.261904761904762,2.833333333333333,1.5952380952380951,4.5476190476190474,1.6904761904761905,1.761904761904762,5.428571428571429,-0.9696041516905123,3.190496602309389,-0.5485731029363946,0.7830426912813102,0.23239512872701998,0.11194212196027643,0.03352682693408115,0.1889941360997448,-0.22604711145613754,False,16.58778506340063,4.686358121332411,12.228740907372664
hallucinate,Health,38.94701986754967,4.717391304347826,3.695652173913044,4.413043478260869,4.260869565217392,1.8043478260869563,2.195652173913044,2.4782608695652173,4.369565217391305,5.391304347826087,1.2569654533094161,-1.553783037733624,-0.3506074845480645,1.2286400147805958,0.6864116396325736,0.43526317201634485,0.1637096277035415,0.7029566967226609,0.40157073181158953,False,19.70134756375252,41.50782723926491,49.076154534971366
exhaustion,Activities / Technologies,39.66891891891892,4.166666666666667,3.5625,5.708333333333333,2.9375,1.6041666666666667,3.916666666666667,1.375,2.5625,6.541666666666667,-0.2917527724359539,-0.28492133136126985,-2.2852218570304426,-0.5212437222919307,-0.06593243236819414,-0.210231407444824,0.24957964000655056,-0.05344494159587224,-0.025641213309190482,False,13.355262547045456,12.649090304579577,23.24865763610148
spies,Crime / War / Violence,48.11764705882353,5.617021276595745,4.361702127659575,3.893617021276596,3.851063829787234,3.25531914893617,1.9361702127659575,3.191489361702128,4.723404255319149,5.446808510638298,2.357162846855265,-1.9522622925988304,0.8773685700090081,0.8714907875518223,0.10949700693796871,0.29148241532725333,0.829778385553101,0.39973056714733546,-0.3772294235218859,False,12.48618527375261,36.372956116404225,38.70839923782873
tattoo,Activities / Technologies,-5.114093959731544,1.3478260869565215,2.347826086956522,5.869565217391305,1.9782608695652173,1.5217391304347827,5.043478260869565,1.9130434782608696,2.239130434782609,5.282608695652174,-3.3552216705423166,1.0334510587076666,-1.0273352877991797,-0.8444674825897324,0.3233064456400059,0.11271718522605217,-0.3879372822167906,0.16511234856150356,0.29609964372917386,False,-23.10334934122494,5.794173242891549,-23.243752428804704
stingray,Nature / Food,32.437086092715234,3.733333333333333,4.311111111111111,3.488888888888889,3.755555555555556,1.4,2.7555555555555555,1.488888888888889,2.933333333333333,6.266666666666667,1.0560000716287552,0.6490172994261312,-1.2901278317100007,1.3570561553742573,-0.18039407239628175,0.04881637791149623,0.03662096205067239,0.6989571412436835,0.22083764645276938,False,22.918443002970562,28.31409632524146,59.29713736937752
wildlife,Nature / Food,8.695945945945946,3.311111111111111,4.155555555555556,3.577777777777778,3.4444444444444446,2.3777777777777778,3.2222222222222223,1.6888888888888889,2.488888888888889,6.8,0.8296051382179142,1.1097750595398852,-0.9410320869167551,0.4223881126904123,-0.9222289165650609,0.3098040755051115,0.06498685923992292,0.3566409902170493,0.13412023850347912,False,15.23819891978529,-6.565731584718021,15.76956313569538
theater,Activities / Technologies,-61.38775510204081,2.0681818181818183,2.272727272727273,4.795454545454546,1.8636363636363635,3.5454545454545454,4.113636363636364,3.7954545454545454,3.954545454545455,4.931818181818182,-2.2607772878093684,-0.395248165079102,1.8632559810169302,-0.6124661520906183,-0.42223401563756746,0.73992599897002,0.3355851393477556,0.26766121522911795,-0.06314113908394149,False,-50.680766522566884,-34.12099671524237,-45.90048847822388
hovercraft,Transportation,-3.4864864864864864,2.1875,3.5,3.2291666666666665,2.375,3.5625,3.479166666666667,2.5416666666666665,3.208333333333333,3.5625,-0.7886691174701238,1.096153535230472,2.317209338011188,0.3514311451237431,0.41438665860974805,-0.6894971106268207,-0.24150738696665133,0.4603213299682168,-0.01858290856226278,False,-29.952603252831736,-3.073560974461561,-13.189394664290877
lawyer,Activities / Technologies,-27.880794701986755,2.6666666666666665,2.117647058823529,5.921568627450981,2.294117647058824,2.0980392156862746,4.352941176470588,3.607843137254902,2.9607843137254903,5.117647058823529,-2.584268759524526,-0.7712755175418327,-0.002497091713294497,-0.568563170419802,0.22649603399022036,0.8166566314305013,-0.3735779016290729,-0.26936692283787445,-0.3765028880035067,False,-20.680837579783955,-27.265431341623824,-21.71033513640113
sauna,Nature / Food,-24.751677852348998,1.4791666666666667,2.2916666666666665,4.854166666666667,1.6458333333333333,2.0625,5.0625,2.1666666666666665,2.4791666666666665,4.5,-3.253467259842489,1.145488938547266,0.2109158050584783,-0.3422795262949425,0.19388479127322905,-0.43477591087974543,-0.2981761695770643,-0.060703538083286664,0.22374181395730652,False,-39.61596677559919,-26.448153122102514,-30.660973817981745
plastic,Nature / Food,-0.7986577181208053,4.673913043478261,3.260869565217391,6.0,2.5434782608695654,3.0,3.260869565217391,2.0869565217391304,3.891304347826087,3.608695652173913,-0.36010316936101283,-1.7817067790316197,0.4959348739014336,-0.8015815867278819,1.534689672247028,-1.272742546957537,0.16324078224530525,0.17835121795397804,-0.20278390965718307,False,-13.923295674576394,-37.416003096683255,-28.393574020619855
revolver,Crime / War / Violence,72.76510067114094,4.901960784313726,6.2745098039215685,2.0588235294117645,5.647058823529412,3.156862745098039,2.5098039215686274,1.5294117647058822,1.9215686274509804,5.725490196078432,4.3198601031710915,1.795599350553247,-0.22282731873757747,1.3151978167298874,0.35596675444903847,0.00789445404383959,-0.2872279999323357,-0.6079498519218322,-0.0923424414492767,False,87.73722778216724,65.87391789674209,51.53503125992485
quantum computing,Activities / Technologies,-31.68421052631579,3.2222222222222223,2.0,5.088888888888889,2.2222222222222223,2.8222222222222224,3.644444444444444,3.644444444444445,4.4,2.088888888888889,-2.254131247408751,-1.6984524160258758,2.552522255662787,0.29997292436410533,1.8212892425142386,-0.693717203720629,-0.3886033672372737,0.049411478796141384,-0.036051826679387985,False,-44.97521967606238,-45.662343107168226,-45.42354769364445
